name,image,description,price,ownerId
Organic Honey Jar,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,Pure natural honey in a glass jar,12,1
Almond Milk,https://cdn.dummyjson.com/product-images/groceries/almond-milk/thumbnail.webp,Lactose-free almond milk,5,2
Olive Oil,https://cdn.dummyjson.com/product-images/groceries/olive-oil/thumbnail.webp,Extra virgin olive oil 500ml,10,3
Brown Bread,https://cdn.dummyjson.com/product-images/groceries/brown-bread/thumbnail.webp,Whole wheat brown bread loaf,3,1
Peanut Butter,https://cdn.dummyjson.com/product-images/groceries/peanut-butter/thumbnail.webp,Smooth peanut butter spread,6,2
Tomato Ketchup,https://cdn.dummyjson.com/product-images/groceries/tomato-ketchup/thumbnail.webp,Classic tomato ketchup bottle,4,3
Pasta Pack,https://cdn.dummyjson.com/product-images/groceries/pasta/thumbnail.webp,Italian dry pasta pack,8,1
Rice Bag,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,5kg long grain rice bag,20,2
Green Tea,https://cdn.dummyjson.com/product-images/groceries/green-tea/thumbnail.webp,Refreshing green tea bags,7,3
Coffee Beans,https://cdn.dummyjson.com/product-images/groceries/coffee-beans/thumbnail.webp,Premium roasted coffee beans,15,1
Cheddar Cheese,https://cdn.dummyjson.com/product-images/groceries/cheddar-cheese/thumbnail.webp,Sharp cheddar cheese block,9,2
Butter Pack,https://cdn.dummyjson.com/product-images/groceries/butter/thumbnail.webp,Salted butter pack 200g,4,3
Eggs Pack,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,Pack of 12 organic eggs,6,1
Yogurt Cup,https://cdn.dummyjson.com/product-images/groceries/yogurt/thumbnail.webp,Plain Greek yogurt cup,3,2
Orange Juice,https://cdn.dummyjson.com/product-images/groceries/orange-juice/thumbnail.webp,Fresh orange juice 1L,5,3
Chocolate Bar,https://cdn.dummyjson.com/product-images/groceries/chocolate-bar/thumbnail.webp,Dark chocolate bar 70%,2,1
Cereal Box,https://cdn.dummyjson.com/product-images/groceries/cereal/thumbnail.webp,Whole grain cereal box,6,2
Potato Chips,https://cdn.dummyjson.com/product-images/groceries/potato-chips/thumbnail.webp,Crispy salted potato chips,3,3
Canned Beans,https://cdn.dummyjson.com/product-images/groceries/canned-beans/thumbnail.webp,Canned baked beans,2,1
Mineral Water,https://cdn.dummyjson.com/product-images/groceries/mineral-water/thumbnail.webp,Pack of 6 mineral water bottles,5,2
